,,largest_side_refiner,,,,,,,,,
,,state_volume,,,state_side_length,,,state_volume_difference,,,
,,greatest_state,sum_of_states,sum_of_exp_states,greatest_state,sum_of_states,sum_of_exp_states,greatest_state,sum_of_states,sum_of_exp_states,
logistic_map_rx0.98_ry0.98_s1.1_i0.4,t_total,687,701,752,1101,991,1057,900146,900091,900130,
,t_search,502,519,568,867,768,832,852415,835264,855838,
,t_check,8,8,8,10,9,9,1055,927,1445,
,t_refine,152,147,149,194,183,185,46496,63378,42123,
,t_misc,24,25,25,29,29,29,178,520,723,
,iterations,164,172,185,221,208,225,9348,6064,8428,
,averages,6.73412,8.50597,9,7.2664,9.19918,9.49898,11.7394,5.9512,14.6153,
,result,true,true,true,true,true,true,indeterminate,indeterminate,indeterminate,
logistic_map_rx1_ry0.99_s3_i0.4,t_total,900210,900095,900094,900305,900124,900042,900162,900129,900210,
,t_search,863893,864377,866484,858870,857934,860565,853052,860002,850803,
,t_check,919,873,828,737,780,652,1228,985,1020,
,t_refine,34418,33723,31674,39472,40131,37421,45671,38170,47722,
,t_misc,978,1120,1106,1224,1278,1402,210,970,663,
,iterations,6831,6945,6882,5682,5632,5816,9250,8573,6193,
,averages,35.5036,43.7299,43.2366,53.17,51.9034,53.6549,14.7668,13.8431,37.1387,
,result,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,
henon_map_a1.375_b0.3,t_total,760654,765292,766753,722306,705091,705794,900205,900166,900066,
,t_search,753121,757619,758813,714980,697558,698400,859334,858983,844638,
,t_check,344,338,337,328,327,323,677,704,875,
,t_refine,5974,6114,6401,5871,6079,5941,39454,39737,53884,
,t_misc,1214,1220,1200,1126,1126,1127,737,740,666,
,iterations,5685,5709,5709,5541,5518,5518,9016,9000,7229,
,averages,316.344,349.456,349.59,342.182,342.267,341.398,4.99357,4.99356,4.99965,
,result,true,true,true,true,true,true,indeterminate,indeterminate,indeterminate,
henon_map_a1.4_b0.3,t_total,900131,900115,900018,900206,900295,900295,900095,900174,900077,
,t_search,889762,890217,890220,891510,890864,890905,843457,843181,840195,
,t_check,305,292,292,330,329,334,680,691,773,
,t_refine,8894,8549,8412,7151,7887,7845,55806,56151,58943,
,t_misc,1169,1055,1091,1213,1213,1210,151,150,164,
,iterations,5134,5171,5196,5297,5281,5276,5846,5836,5632,
,averages,370.556,374.989,380.594,407.851,406.77,407.338,10.9722,10.972,10.9712,
,result,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,
tinkerbell_a0.9_b-0.6013_c2_d0.5,t_total,900573,900057,900053,900448,900008,900013,900104,900781,900590,
,t_search,875707,880040,880898,876169,879372,881066,839892,839734,838026,
,t_check,414,422,375,357,241,260,596,601,489,
,t_refine,23987,19194,18333,23501,19881,18215,58051,58669,60595,
,t_misc,465,400,446,420,514,471,1564,1776,1479,
,iterations,1741,1829,1817,1973,1945,1950,2506,2455,2340,
,averages,85.4826,78.984,88.2367,83.2298,118.413,95.8837,195,191.192,185.644,
,result,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,
